input_produit_id,input_nom_produit,input_description_produit,input_prix_produit,input_categorie_id,input_longueur_produit,input_largeur_produit,input_hauteur_produit,input_saisonnalite_produit,input_priorite_merchandising,input_contrainte_temperature_produit,input_contrainte_conditionnement_produit,input_conditionnement_produit,input_magasin_id,input_nom_magasin_magasin,input_surface_magasin,input_longueur_magasin,input_largeur_magasin,input_adresse_magasin,input_zone_id,input_nom_zone,input_description_zone,input_emplacement_zone,input_longueur_zone,input_largeur_zone,input_hauteur_zone,input_temperature_zone,input_eclairage_zone,input_quantite_stock,input_date_maj_stock,input_quantite_vente,input_prix_unitaire_vente,input_date_vente,input_promotion_id,input_nom_promotion,input_type_promotion,input_etat_promotion,input_id_supplier,input_placement_exige_supplier,input_espace_minimum_supplier,input_nom_categorie,input_saisonnalite_categorie,input_priorite_categorie,input_zone_exposition_preferee_categorie,input_temperature_exposition_categorie,input_clientele_ciblee_categorie,input_montant_total_vente,input_valeur_stock
PROD_0001,Huile Olive Bio,Description du Huile Olive,30.38,CAT_001,11.4,7.3,11.5,printemps,9,0,standard,metal,MAG_001,Magasin MAG_001,624.8,29.6,21.3,33 Rue de la Paix,ZONE_003,Zone 003,Zone centrale,centre,11.1,4.4,3.2,ambiante,LED,134,2025-04-29,20,9.48,2025-04-29,,,,,SUP_015,standard,2.9,Catégorie CAT_001,automne,1,entree,ambiante,tous,189.6,4070.92
PROD_0002,Riz Basmati Premium,Description du Riz Basmati,9.21,CAT_003,14.7,12.9,20.8,printemps,7,0,standard,verre,MAG_003,Magasin MAG_003,376.5,26.6,15.1,868 Rue République,ZONE_002,Zone 002,Zone spécialisée,fond,7.0,4.4,2.6,ambiante,LED,191,2025-03-31,15,29.03,2025-04-17,PROMO_025,Offre Spéciale,,,SUP_028,niveau_oeil,1.4,Catégorie CAT_003,toute_annee,4,fond,ambiante,famille,435.45,1759.11
PROD_0003,Vin Rouge Premium,Description du Vin Rouge,5.18,CAT_006,21.0,5.7,25.2,ete,2,0,fragile,verre,MAG_001,Magasin MAG_001,673.3,29.3,20.1,465 Rue Liberté,ZONE_002,Zone 002,Zone périphérique,centre,6.2,2.3,3.4,ambiante,halogene,95,2025-04-12,7,77.53,2025-05-03,,,,,SUP_006,standard,2.5,Catégorie CAT_006,ete,3,centre,ambiante,tous,542.71,492.1
PROD_0004,Jus Orange Premium,Description du Jus Orange,37.02,CAT_006,10.7,12.4,10.9,ete,1,0,fragile,metal,MAG_003,Magasin MAG_003,370.0,24.1,14.8,275 Rue de la Paix,ZONE_002,Zone 002,Zone centrale,fond,11.4,3.0,3.2,ambiante,LED,172,2025-04-03,16,30.44,2025-04-15,,,pourcentage,planifiee,SUP_018,niveau_oeil,1.8,Catégorie CAT_006,toute_annee,7,fond,ambiante,tous,487.04,6367.44
PROD_0005,Bananes Premium,Description du Bananes,13.5,CAT_002,9.9,7.9,11.1,printemps,2,0,standard,plastique,MAG_003,Magasin MAG_003,333.6,25.6,17.5,812 Rue Liberté,ZONE_002,Zone 002,Zone périphérique,entree,7.3,3.6,2.8,ambiante,halogene,102,2025-02-19,20,67.67,2025-03-05,,,,planifiee,SUP_004,standard,1.4,Catégorie CAT_002,toute_annee,5,fond,ambiante,senior,1353.4,1377.0
PROD_0006,Pâtes Penne Premium,Description du Pâtes Penne,9.67,CAT_003,9.6,19.8,29.3,automne,9,0,standard,carton,MAG_001,Magasin MAG_001,617.2,24.7,20.6,892 Rue Liberté,ZONE_004,Zone 004,Zone périphérique,centre,6.4,2.0,3.3,ambiante,LED,100,2025-03-01,25,58.89,2025-03-06,,,,inactive,SUP_016,tete_gondole,2.3,Catégorie CAT_003,printemps,6,centre,ambiante,jeune,1472.25,967.0
PROD_0007,Chocolat Noir Premium,Description du Chocolat Noir,21.87,CAT_002,15.3,6.0,17.8,toute_annee,3,0,standard,metal,MAG_001,Magasin MAG_001,558.0,29.1,20.7,970 Rue Liberté,ZONE_001,Zone 001,Zone centrale,fond,7.3,4.9,3.1,ambiante,neon,160,2025-02-21,14,71.88,2025-03-23,PROMO_035,,,,SUP_013,standard,1.7,Catégorie CAT_002,automne,8,fond,ambiante,tous,1006.32,3499.2
PROD_0008,Chocolat Noir Premium,Description du Chocolat Noir,30.66,CAT_002,25.0,12.4,23.1,toute_annee,9,0,standard,plastique,MAG_001,Magasin MAG_001,618.1,28.1,20.7,8 Rue de la Paix,ZONE_002,Zone 002,Zone spécialisée,entree,8.0,2.1,2.6,ambiante,LED,22,2025-03-31,29,10.26,2025-04-01,,Promo Flash,,,SUP_018,tete_gondole,2.1,Catégorie CAT_002,toute_annee,10,centre,ambiante,jeune,297.54,674.52
PROD_0009,Biscuits Sablés Light,Description du Biscuits Sablés,15.09,CAT_004,17.0,16.3,15.7,automne,7,1,fragile,metal,MAG_004,Magasin MAG_004,404.6,19.0,15.6,885 Rue Liberté,ZONE_002,Zone 002,Zone centrale,entree,5.5,3.2,2.7,froid,LED,108,2025-06-01,24,74.94,2025-06-11,,Promo Flash,montant,active,SUP_009,niveau_oeil,2.5,Catégorie CAT_004,ete,2,centre,froid,famille,1798.56,1629.72
PROD_0010,Chocolat Noir Bio,Description du Chocolat Noir,16.58,CAT_006,27.6,13.1,30.2,hiver,8,0,fragile,plastique,MAG_001,Magasin MAG_001,645.8,31.0,18.9,886 Rue République,ZONE_001,Zone 001,Zone centrale,centre,11.3,3.3,2.6,ambiante,halogene,5,2025-04-26,13,24.41,2025-05-04,,,,,SUP_024,standard,1.6,Catégorie CAT_006,hiver,3,entree,ambiante,senior,317.33,82.9
